성별,연령대,몸무게,운동경력,운동목적,운동종목,추천무게(kg),추천횟수,추천세트수,쉬는시간(초)
여성,20대,49.3,초보자,근비대,바벨 로우,7.5,8,4,87
남성,20대,64.8,중급자,재활/건강,어시스트 풀업 머신,30.0,20,2,112
여성,30대,72.1,초보자,스트렝스,레그 프레스 머신,25.0,5,4,161
남성,60대 이상,64.8,상급자,스트렝스,워킹 런지,72.5,4,5,142
남성,10대,64.7,중급자,스트렝스,워킹 런지,50.0,3,5,152
남성,30대,76.2,중급자,스트렝스,시티드 로우 머신,77.5,5,5,121
남성,50대,78.8,초보자,스트렝스,레그 컬 머신,42.5,4,5,142
남성,60대 이상,67.4,중급자,다이어트,페이스 풀,30.0,15,3,55
남성,30대,81.2,상급자,스트렝스,루마니안 데드리프트,87.5,3,5,148
여성,10대,58.6,초보자,다이어트,레그 컬 머신,12.5,20,3,37
여성,10대,51.7,중급자,스트렝스,오버헤드 프레스,22.5,3,5,130
여성,60대 이상,52.4,초보자,다이어트,펙덱 플라이 머신,12.5,19,3,56
여성,60대 이상,72.5,중급자,재활/건강,체스트 프레스 머신,17.5,16,2,117
여성,10대,52.2,상급자,다이어트,랫 풀다운 머신,32.5,16,3,39
여성,10대,51.7,중급자,다이어트,벤치프레스,15.0,20,3,40
여성,30대,49.0,상급자,재활/건강,시티드 로우 머신,20.0,15,2,108
여성,20대,73.7,상급자,스트렝스,체스트 프레스 머신,77.5,4,5,172
남성,60대 이상,76.7,초보자,다이어트,벤치프레스,17.5,20,3,53
남성,50대,95.2,중급자,스트렝스,벤치프레스,70.0,3,5,120
여성,40대,52.8,중급자,근비대,레그 프레스 머신,27.5,8,3,80
남성,60대 이상,75.2,중급자,스트렝스,사이드 레터럴 레이즈,52.5,3,5,158
여성,20대,44.0,중급자,재활/건강,랫 풀다운 머신,12.5,17,2,96
남성,20대,72.6,초보자,재활/건강,숄더 프레스 머신,12.5,18,2,108
여성,10대,53.4,중급자,다이어트,바벨 로우,15.0,15,3,42
남성,40대,70.8,초보자,재활/건강,페이스 풀,10.0,20,2,100
남성,30대,83.7,상급자,스트렝스,랫 풀다운 머신,142.5,3,4,170
여성,60대 이상,43.4,초보자,스트렝스,벤치프레스,10.0,5,4,123
여성,50대,44.9,상급자,다이어트,인클라인 덤벨 프레스,20.0,15,3,39
여성,20대,51.1,초보자,재활/건강,레그 익스텐션 머신,7.5,15,2,110
여성,10대,61.3,초보자,다이어트,벤치프레스,7.5,15,3,40
남성,20대,48.8,초보자,근비대,인클라인 덤벨 프레스,15.0,11,3,86
여성,50대,57.6,중급자,다이어트,벤치프레스,15.0,20,3,39
여성,20대,55.4,초보자,근비대,루마니안 데드리프트,10.0,11,3,68
남성,50대,55.8,중급자,다이어트,숄더 프레스 머신,35.0,20,3,32
여성,40대,55.2,상급자,재활/건강,어시스트 풀업 머신,25.0,18,3,102
여성,30대,51.7,초보자,스트렝스,사이드 레터럴 레이즈,12.5,4,4,144
남성,50대,91.1,상급자,재활/건강,어시스트 풀업 머신,65.0,19,3,105
여성,50대,61.3,초보자,근비대,레그 컬 머신,17.5,9,4,70
여성,30대,65.6,초보자,재활/건강,체스트 프레스 머신,7.5,17,3,105
여성,40대,41.0,중급자,재활/건강,인클라인 덤벨 프레스,7.5,16,2,118
남성,30대,81.8,초보자,근비대,랫 풀다운 머신,37.5,12,3,89
여성,50대,55.2,초보자,다이어트,페이스 풀,7.5,20,3,45
여성,30대,63.6,초보자,근비대,워킹 런지,12.5,8,3,66
남성,50대,79.5,초보자,스트렝스,레그 익스텐션 머신,40.0,4,4,162
여성,20대,60.7,중급자,다이어트,랫 풀다운 머신,25.0,16,3,55
남성,40대,62.8,상급자,근비대,페이스 풀,52.5,12,3,87
남성,20대,62.7,초보자,재활/건강,워킹 런지,10.0,18,2,110
여성,30대,56.0,중급자,재활/건강,체스트 프레스 머신,15.0,19,2,105
여성,10대,43.3,중급자,스트렝스,루마니안 데드리프트,20.0,5,4,122
남성,10대,65.6,중급자,스트렝스,인클라인 덤벨 프레스,45.0,4,4,121
남성,10대,71.9,중급자,근비대,레그 익스텐션 머신,62.5,11,4,90
남성,10대,88.7,초보자,스트렝스,인클라인 덤벨 프레스,30.0,5,4,180
여성,50대,51.5,중급자,다이어트,펙덱 플라이 머신,20.0,15,3,42
남성,30대,82.6,중급자,근비대,벤치프레스,47.5,10,4,71
남성,10대,57.2,상급자,근비대,인클라인 덤벨 프레스,52.5,11,3,60
여성,40대,66.6,중급자,다이어트,루마니안 데드리프트,20.0,19,3,30
여성,60대 이상,55.9,초보자,재활/건강,페이스 풀,5.0,15,2,108
남성,50대,74.8,상급자,다이어트,루마니안 데드리프트,50.0,17,3,42
여성,20대,62.2,중급자,재활/건강,워킹 런지,12.5,20,2,111
여성,10대,42.2,초보자,다이어트,레그 컬 머신,10.0,20,3,42
여성,60대 이상,52.0,중급자,스트렝스,사이드 레터럴 레이즈,22.5,4,4,149
남성,50대,72.4,중급자,재활/건강,랫 풀다운 머신,27.5,18,3,92
여성,10대,66.8,상급자,근비대,숄더 프레스 머신,57.5,12,4,86
여성,30대,61.5,초보자,재활/건강,벤치프레스,5.0,20,2,109
남성,10대,55.8,상급자,스트렝스,바벨 스쿼트,60.0,3,4,135
남성,20대,78.0,초보자,재활/건강,워킹 런지,10.0,17,2,90
남성,50대,74.1,중급자,재활/건강,인클라인 덤벨 프레스,20.0,20,2,96
남성,50대,76.8,초보자,다이어트,레그 프레스 머신,25.0,19,3,47
여성,60대 이상,55.3,상급자,근비대,펙덱 플라이 머신,50.0,11,4,76
남성,60대 이상,71.8,상급자,근비대,체스트 프레스 머신,95.0,8,4,64
여성,40대,56.6,중급자,근비대,인클라인 덤벨 프레스,22.5,10,3,69
남성,60대 이상,73.3,상급자,재활/건강,레그 컬 머신,50.0,20,2,92
남성,10대,75.4,상급자,다이어트,시티드 로우 머신,67.5,15,3,42
여성,40대,45.2,초보자,재활/건강,사이드 레터럴 레이즈,5.0,17,2,100
여성,40대,48.1,상급자,다이어트,워킹 런지,20.0,16,3,53
남성,60대 이상,68.7,상급자,재활/건강,펙덱 플라이 머신,45.0,18,2,90
여성,60대 이상,42.3,중급자,재활/건강,어시스트 풀업 머신,10.0,16,3,118
여성,30대,58.9,상급자,근비대,펙덱 플라이 머신,55.0,9,4,73
남성,60대 이상,76.4,중급자,근비대,바벨 스쿼트,47.5,9,3,78
남성,30대,77.7,초보자,스트렝스,레그 컬 머신,42.5,4,5,170
남성,10대,72.1,상급자,재활/건강,레그 익스텐션 머신,42.5,20,3,105
남성,40대,90.7,중급자,근비대,레그 프레스 머신,82.5,11,4,75
남성,60대 이상,64.3,초보자,근비대,바벨 스쿼트,20.0,9,3,75
여성,40대,59.7,초보자,다이어트,사이드 레터럴 레이즈,7.5,19,3,56
남성,10대,80.0,상급자,재활/건강,인클라인 덤벨 프레스,37.5,15,2,102
여성,10대,58.3,중급자,재활/건강,워킹 런지,10.0,19,3,90
남성,40대,62.0,초보자,근비대,레그 프레스 머신,27.5,12,4,77
남성,20대,82.0,초보자,다이어트,레그 익스텐션 머신,25.0,17,3,54
여성,20대,53.6,중급자,재활/건강,시티드 로우 머신,15.0,20,2,115
남성,10대,72.8,상급자,스트렝스,사이드 레터럴 레이즈,82.5,3,4,162
여성,50대,46.1,상급자,근비대,페이스 풀,27.5,11,4,63
남성,20대,80.4,중급자,다이어트,랫 풀다운 머신,50.0,16,3,39
남성,10대,72.1,중급자,스트렝스,레그 익스텐션 머신,72.5,4,4,124
남성,10대,75.0,상급자,재활/건강,체스트 프레스 머신,42.5,15,2,98
남성,40대,68.7,상급자,근비대,레그 프레스 머신,92.5,10,3,83
남성,10대,71.0,중급자,재활/건강,루마니안 데드리프트,20.0,18,3,102
남성,20대,56.4,초보자,재활/건강,어시스트 풀업 머신,12.5,19,2,95
남성,10대,91.9,상급자,재활/건강,바벨 스쿼트,42.5,15,3,98
남성,10대,70.2,상급자,재활/건강,사이드 레터럴 레이즈,32.5,15,3,101
남성,60대 이상,67.4,초보자,재활/건강,레그 프레스 머신,15.0,16,2,116
여성,60대 이상,47.2,초보자,근비대,어시스트 풀업 머신,12.5,9,3,88
여성,50대,60.1,중급자,스트렝스,어시스트 풀업 머신,42.5,4,5,173
여성,50대,58.1,중급자,재활/건강,오버헤드 프레스,10.0,20,3,90
여성,40대,60.3,중급자,근비대,페이스 풀,22.5,10,4,75
여성,60대 이상,55.3,상급자,스트렝스,루마니안 데드리프트,42.5,5,5,124
여성,40대,55.8,중급자,재활/건강,바벨 스쿼트,10.0,19,3,92
여성,10대,61.5,상급자,근비대,레그 컬 머신,57.5,12,4,75
남성,50대,59.2,중급자,근비대,레그 프레스 머신,52.5,8,4,84
여성,30대,64.6,상급자,재활/건강,어시스트 풀업 머신,27.5,16,2,96
남성,20대,74.7,초보자,스트렝스,바벨 로우,25.0,3,5,121
여성,60대 이상,55.1,상급자,재활/건강,레그 컬 머신,25.0,16,3,113
남성,50대,60.2,초보자,근비대,숄더 프레스 머신,27.5,12,4,63
여성,10대,66.4,중급자,재활/건강,인클라인 덤벨 프레스,10.0,18,3,105
여성,10대,70.5,상급자,다이어트,인클라인 덤벨 프레스,30.0,18,3,46
남성,10대,62.8,상급자,근비대,오버헤드 프레스,55.0,10,4,87
남성,50대,76.8,중급자,스트렝스,오버헤드 프레스,52.5,4,4,140
여성,60대 이상,50.9,중급자,다이어트,시티드 로우 머신,22.5,19,3,46
여성,10대,52.2,초보자,근비대,어시스트 풀업 머신,15.0,12,3,67
여성,60대 이상,51.3,중급자,다이어트,사이드 레터럴 레이즈,12.5,15,3,46
남성,20대,77.0,초보자,스트렝스,오버헤드 프레스,27.5,5,5,175
여성,30대,44.4,초보자,재활/건강,숄더 프레스 머신,7.5,20,2,101
남성,60대 이상,69.3,중급자,다이어트,인클라인 덤벨 프레스,32.5,15,3,34
여성,40대,54.7,상급자,근비대,레그 프레스 머신,52.5,11,3,87
여성,60대 이상,50.0,초보자,근비대,워킹 런지,10.0,10,4,75
여성,20대,50.6,초보자,재활/건강,바벨 스쿼트,5.0,20,3,119
여성,60대 이상,55.5,초보자,스트렝스,레그 익스텐션 머신,20.0,5,4,164
여성,10대,60.2,상급자,다이어트,체스트 프레스 머신,37.5,20,3,58
여성,50대,71.9,중급자,근비대,레그 컬 머신,40.0,12,3,71
남성,60대 이상,64.8,상급자,다이어트,오버헤드 프레스,42.5,15,3,47
여성,60대 이상,53.8,상급자,근비대,펙덱 플라이 머신,45.0,12,4,83
여성,30대,39.4,중급자,스트렝스,페이스 풀,17.5,5,4,144
남성,60대 이상,60.2,초보자,근비대,숄더 프레스 머신,27.5,11,3,72
여성,60대 이상,50.6,중급자,다이어트,루마니안 데드리프트,12.5,15,3,45
남성,10대,70.6,상급자,다이어트,체스트 프레스 머신,72.5,18,3,39
여성,60대 이상,62.8,상급자,재활/건강,레그 익스텐션 머신,25.0,20,3,104
여성,40대,64.2,초보자,스트렝스,레그 컬 머신,22.5,3,4,178
남성,40대,66.6,중급자,스트렝스,인클라인 덤벨 프레스,47.5,4,5,124
남성,50대,80.5,상급자,스트렝스,바벨 스쿼트,85.0,3,4,136
여성,10대,53.4,초보자,스트렝스,벤치프레스,12.5,3,4,142
여성,20대,42.6,초보자,다이어트,레그 컬 머신,10.0,18,3,48
남성,40대,83.3,중급자,재활/건강,펙덱 플라이 머신,37.5,18,3,100
남성,20대,66.6,중급자,스트렝스,체스트 프레스 머신,67.5,4,5,142
여성,40대,50.0,중급자,스트렝스,숄더 프레스 머신,35.0,4,4,179
남성,40대,81.3,중급자,스트렝스,레그 컬 머신,85.0,4,4,120
남성,10대,77.8,초보자,근비대,펙덱 플라이 머신,35.0,10,3,65
여성,30대,52.9,초보자,재활/건강,레그 익스텐션 머신,7.5,16,2,90
여성,50대,57.3,상급자,스트렝스,숄더 프레스 머신,57.5,5,5,121
여성,30대,59.3,초보자,스트렝스,어시스트 풀업 머신,20.0,3,4,136
여성,10대,57.9,초보자,재활/건강,체스트 프레스 머신,7.5,17,2,111
여성,30대,53.2,초보자,스트렝스,레그 프레스 머신,20.0,4,4,178
여성,60대 이상,53.5,초보자,근비대,레그 프레스 머신,15.0,9,3,86
남성,40대,84.9,상급자,재활/건강,레그 익스텐션 머신,60.0,19,3,95
남성,50대,80.2,초보자,다이어트,바벨 로우,17.5,15,3,59
여성,40대,47.7,초보자,스트렝스,숄더 프레스 머신,17.5,3,5,175
여성,40대,66.9,초보자,근비대,사이드 레터럴 레이즈,12.5,12,4,65
여성,60대 이상,60.4,중급자,스트렝스,바벨 로우,27.5,5,4,138
남성,30대,68.6,중급자,근비대,어시스트 풀업 머신,60.0,9,3,66
여성,60대 이상,52.3,상급자,재활/건강,루마니안 데드리프트,17.5,18,3,120
여성,10대,69.2,상급자,스트렝스,숄더 프레스 머신,77.5,4,5,166
여성,20대,35.6,중급자,재활/건강,인클라인 덤벨 프레스,7.5,15,2,103
여성,30대,60.7,중급자,다이어트,랫 풀다운 머신,25.0,16,3,32
여성,10대,52.4,초보자,재활/건강,바벨 스쿼트,5.0,15,3,117
남성,60대 이상,87.4,초보자,다이어트,랫 풀다운 머신,27.5,20,3,36
남성,10대,73.1,중급자,다이어트,레그 익스텐션 머신,47.5,15,3,48
남성,40대,92.8,상급자,스트렝스,루마니안 데드리프트,97.5,5,4,121
남성,20대,77.7,중급자,근비대,레그 컬 머신,72.5,11,4,77
남성,30대,65.2,상급자,다이어트,레그 프레스 머신,67.5,17,3,35
남성,10대,69.6,상급자,재활/건강,레그 컬 머신,45.0,20,2,118
여성,40대,71.4,초보자,근비대,레그 컬 머신,20.0,9,4,77
여성,10대,56.2,초보자,다이어트,페이스 풀,7.5,19,3,57
남성,30대,68.4,상급자,스트렝스,워킹 런지,72.5,5,4,157
남성,40대,47.0,중급자,다이어트,레그 프레스 머신,30.0,15,3,37
여성,40대,49.6,중급자,근비대,레그 익스텐션 머신,27.5,9,3,78
여성,40대,67.8,상급자,재활/건강,체스트 프레스 머신,30.0,17,3,91
여성,10대,51.9,초보자,근비대,펙덱 플라이 머신,15.0,8,3,84
여성,30대,60.9,초보자,다이어트,어시스트 풀업 머신,12.5,18,3,58
여성,40대,59.2,중급자,스트렝스,레그 익스텐션 머신,37.5,4,4,149
남성,60대 이상,78.0,상급자,다이어트,펙덱 플라이 머신,77.5,19,3,33
여성,10대,57.2,중급자,다이어트,체스트 프레스 머신,22.5,19,3,31
여성,30대,53.3,초보자,다이어트,바벨 로우,7.5,17,3,59
남성,30대,62.0,상급자,스트렝스,펙덱 플라이 머신,95.0,3,5,159
여성,40대,68.7,초보자,다이어트,루마니안 데드리프트,10.0,16,3,31
남성,10대,54.4,중급자,근비대,펙덱 플라이 머신,47.5,8,3,82
남성,30대,64.8,중급자,재활/건강,펙덱 플라이 머신,27.5,15,3,95
여성,10대,62.4,중급자,스트렝스,펙덱 플라이 머신,45.0,3,5,125
여성,60대 이상,59.7,상급자,재활/건강,페이스 풀,20.0,17,3,113
여성,10대,54.3,상급자,스트렝스,랫 풀다운 머신,60.0,4,4,127
남성,10대,65.8,상급자,다이어트,워킹 런지,40.0,15,3,44
남성,30대,81.3,중급자,근비대,펙덱 플라이 머신,70.0,12,3,89
여성,50대,55.6,상급자,재활/건강,레그 익스텐션 머신,25.0,18,2,120
남성,60대 이상,77.0,초보자,다이어트,벤치프레스,17.5,16,3,53
남성,20대,67.2,상급자,다이어트,레그 익스텐션 머신,60.0,17,3,48
남성,20대,65.7,중급자,다이어트,워킹 런지,27.5,17,3,51
여성,40대,65.7,중급자,재활/건강,워킹 런지,10.0,18,3,120
남성,10대,77.2,상급자,다이어트,레그 컬 머신,80.0,15,3,49
남성,60대 이상,83.6,상급자,스트렝스,어시스트 풀업 머신,132.5,4,4,137
남성,20대,54.1,상급자,재활/건강,랫 풀다운 머신,37.5,16,2,93
여성,30대,68.8,중급자,재활/건강,오버헤드 프레스,12.5,19,2,113
여성,10대,54.2,초보자,재활/건강,레그 프레스 머신,7.5,19,2,119
남성,20대,71.1,초보자,스트렝스,워킹 런지,25.0,4,4,169
남성,60대 이상,76.5,상급자,다이어트,벤치프레스,50.0,18,3,30
여성,40대,55.8,초보자,재활/건강,사이드 레터럴 레이즈,5.0,15,3,91
남성,10대,64.1,중급자,재활/건강,루마니안 데드리프트,17.5,15,3,103
남성,40대,88.2,중급자,근비대,사이드 레터럴 레이즈,50.0,11,3,83
남성,40대,77.1,상급자,근비대,펙덱 플라이 머신,110.0,9,4,79
남성,30대,86.9,초보자,근비대,인클라인 덤벨 프레스,27.5,9,3,87
여성,40대,64.6,초보자,다이어트,루마니안 데드리프트,7.5,16,3,49
여성,20대,58.9,초보자,다이어트,워킹 런지,7.5,16,3,53
여성,10대,57.7,초보자,재활/건강,시티드 로우 머신,7.5,19,3,114
여성,40대,62.4,상급자,재활/건강,레그 컬 머신,25.0,16,2,102
여성,40대,61.3,중급자,근비대,레그 익스텐션 머신,35.0,8,4,71
여성,40대,67.5,상급자,다이어트,페이스 풀,32.5,19,3,48
여성,40대,57.8,초보자,다이어트,어시스트 풀업 머신,12.5,20,3,50
남성,50대,58.1,초보자,다이어트,레그 프레스 머신,20.0,15,3,36
남성,40대,70.2,상급자,스트렝스,워킹 런지,72.5,5,5,120
남성,50대,67.6,상급자,스트렝스,랫 풀다운 머신,107.5,5,5,137
여성,50대,49.1,초보자,다이어트,워킹 런지,7.5,20,3,31
여성,30대,69.2,상급자,근비대,랫 풀다운 머신,62.5,11,3,85
남성,60대 이상,51.8,상급자,근비대,루마니안 데드리프트,45.0,12,4,77
여성,30대,60.4,상급자,스트렝스,레그 프레스 머신,62.5,4,4,149
남성,20대,82.9,상급자,다이어트,시티드 로우 머신,77.5,19,3,42
여성,10대,47.6,초보자,재활/건강,펙덱 플라이 머신,7.5,16,3,90
여성,20대,57.8,초보자,다이어트,오버헤드 프레스,7.5,18,3,56
남성,50대,87.7,상급자,근비대,레그 컬 머신,112.5,11,3,83
여성,60대 이상,62.1,상급자,다이어트,레그 프레스 머신,40.0,19,3,58
여성,20대,54.5,중급자,다이어트,레그 프레스 머신,22.5,17,3,46
여성,60대 이상,51.6,초보자,다이어트,인클라인 덤벨 프레스,7.5,17,3,49
남성,40대,86.3,중급자,스트렝스,시티드 로우 머신,92.5,4,5,145
여성,10대,56.7,중급자,다이어트,워킹 런지,15.0,20,3,52
남성,30대,81.8,초보자,스트렝스,사이드 레터럴 레이즈,30.0,4,5,138
여성,60대 이상,44.7,상급자,다이어트,인클라인 덤벨 프레스,20.0,17,3,45
여성,10대,55.4,상급자,다이어트,시티드 로우 머신,35.0,16,3,43
남성,40대,75.6,초보자,스트렝스,사이드 레터럴 레이즈,27.5,4,4,159
여성,30대,67.4,상급자,다이어트,레그 익스텐션 머신,47.5,20,3,52
남성,40대,80.2,초보자,근비대,체스트 프레스 머신,37.5,12,3,90
여성,30대,67.0,중급자,재활/건강,어시스트 풀업 머신,17.5,15,3,114
여성,50대,52.3,초보자,다이어트,오버헤드 프레스,7.5,20,3,30
여성,10대,62.8,상급자,스트렝스,바벨 스쿼트,47.5,4,5,154
여성,60대 이상,49.5,초보자,근비대,레그 익스텐션 머신,12.5,12,4,85
남성,10대,64.5,중급자,근비대,체스트 프레스 머신,60.0,10,4,63
남성,60대 이상,83.6,상급자,재활/건강,랫 풀다운 머신,45.0,17,3,101
남성,60대 이상,72.0,중급자,다이어트,바벨 로우,30.0,17,3,35
여성,50대,52.2,상급자,다이어트,인클라인 덤벨 프레스,22.5,16,3,37
남성,50대,64.8,중급자,재활/건강,오버헤드 프레스,20.0,18,2,91
여성,30대,52.8,중급자,다이어트,레그 익스텐션 머신,20.0,20,3,40
여성,30대,51.6,상급자,재활/건강,어시스트 풀업 머신,20.0,20,2,91
남성,30대,57.3,상급자,재활/건강,사이드 레터럴 레이즈,25.0,20,2,116
남성,60대 이상,59.4,중급자,스트렝스,바벨 스쿼트,42.5,4,4,136
남성,60대 이상,75.4,초보자,재활/건강,워킹 런지,10.0,19,2,105
남성,40대,65.5,중급자,스트렝스,숄더 프레스 머신,70.0,4,4,145
남성,10대,88.2,중급자,스트렝스,숄더 프레스 머신,95.0,3,5,160
여성,50대,63.9,초보자,재활/건강,숄더 프레스 머신,7.5,19,3,109
여성,20대,66.1,상급자,다이어트,페이스 풀,30.0,16,3,43
여성,40대,51.4,초보자,재활/건강,인클라인 덤벨 프레스,5.0,16,2,96
남성,20대,83.1,중급자,재활/건강,페이스 풀,22.5,19,3,95
남성,10대,68.5,중급자,재활/건강,숄더 프레스 머신,30.0,15,2,105
남성,40대,91.4,상급자,스트렝스,벤치프레스,97.5,5,5,169
남성,20대,89.0,상급자,다이어트,오버헤드 프레스,62.5,20,3,48
남성,40대,69.6,초보자,근비대,레그 프레스 머신,30.0,12,4,83
남성,50대,72.3,초보자,재활/건강,시티드 로우 머신,15.0,15,2,105
여성,10대,60.8,상급자,스트렝스,페이스 풀,42.5,5,5,169
남성,50대,74.9,상급자,다이어트,인클라인 덤벨 프레스,52.5,17,3,57
여성,30대,42.4,중급자,스트렝스,사이드 레터럴 레이즈,20.0,5,4,175
남성,10대,80.6,초보자,재활/건강,펙덱 플라이 머신,17.5,15,3,101
여성,40대,64.3,초보자,스트렝스,바벨 스쿼트,15.0,5,4,144
여성,40대,55.5,상급자,근비대,페이스 풀,32.5,9,4,80
남성,20대,61.1,중급자,재활/건강,펙덱 플라이 머신,27.5,19,2,99
남성,60대 이상,67.2,중급자,다이어트,레그 프레스 머신,42.5,20,3,40
여성,20대,67.7,초보자,다이어트,인클라인 덤벨 프레스,10.0,17,3,31
남성,20대,85.6,상급자,근비대,어시스트 풀업 머신,117.5,12,4,85
남성,30대,84.8,상급자,스트렝스,레그 컬 머신,137.5,4,5,127
남성,60대 이상,73.2,초보자,다이어트,벤치프레스,17.5,15,3,54
여성,60대 이상,56.2,초보자,재활/건강,레그 컬 머신,7.5,19,3,96
여성,30대,44.1,초보자,다이어트,어시스트 풀업 머신,10.0,18,3,30
여성,20대,59.0,상급자,재활/건강,사이드 레터럴 레이즈,15.0,19,2,92
남성,60대 이상,69.6,초보자,재활/건강,어시스트 풀업 머신,15.0,18,2,109
남성,30대,75.4,초보자,근비대,체스트 프레스 머신,35.0,12,3,77
남성,40대,67.0,중급자,재활/건강,펙덱 플라이 머신,27.5,15,2,109
여성,40대,59.0,초보자,스트렝스,랫 풀다운 머신,20.0,4,4,121
남성,10대,93.3,상급자,근비대,인클라인 덤벨 프레스,90.0,12,3,80
남성,20대,69.3,중급자,재활/건강,랫 풀다운 머신,32.5,15,2,113
여성,30대,56.6,상급자,근비대,오버헤드 프레스,35.0,10,4,61
남성,10대,70.8,중급자,근비대,랫 풀다운 머신,60.0,9,3,70
남성,50대,74.1,초보자,재활/건강,숄더 프레스 머신,15.0,18,2,103
여성,30대,68.7,중급자,재활/건강,어시스트 풀업 머신,15.0,19,2,111
여성,10대,51.3,중급자,재활/건강,인클라인 덤벨 프레스,10.0,20,3,110
남성,60대 이상,83.7,초보자,재활/건강,레그 프레스 머신,20.0,17,2,93
남성,30대,66.9,상급자,근비대,랫 풀다운 머신,90.0,8,3,68
남성,50대,84.0,중급자,재활/건강,워킹 런지,27.5,19,2,103
남성,50대,102.8,상급자,스트렝스,레그 프레스 머신,167.5,4,5,131
남성,50대,76.0,상급자,스트렝스,펙덱 플라이 머신,122.5,4,4,166
여성,60대 이상,55.8,중급자,근비대,오버헤드 프레스,20.0,8,3,81
남성,60대 이상,93.1,중급자,근비대,페이스 풀,57.5,8,3,79
남성,40대,55.8,중급자,재활/건강,펙덱 플라이 머신,25.0,17,2,100
여성,60대 이상,67.2,초보자,근비대,바벨 로우,12.5,9,3,85
남성,40대,88.0,중급자,다이어트,체스트 프레스 머신,55.0,18,3,44
여성,40대,52.3,초보자,스트렝스,레그 프레스 머신,17.5,3,5,159
남성,60대 이상,90.7,중급자,스트렝스,워킹 런지,65.0,5,5,144
여성,40대,59.2,초보자,재활/건강,레그 컬 머신,7.5,18,3,120
남성,20대,71.4,초보자,근비대,워킹 런지,22.5,9,3,77
남성,60대 이상,80.4,상급자,근비대,숄더 프레스 머신,107.5,11,4,70
여성,60대 이상,54.4,초보자,스트렝스,시티드 로우 머신,20.0,5,4,145
여성,40대,36.4,중급자,근비대,체스트 프레스 머신,20.0,12,3,70
여성,40대,63.4,상급자,다이어트,랫 풀다운 머신,40.0,19,3,39
남성,60대 이상,66.0,초보자,다이어트,루마니안 데드리프트,12.5,18,3,50
여성,60대 이상,52.4,중급자,근비대,페이스 풀,17.5,9,3,69
남성,60대 이상,82.5,상급자,다이어트,랫 풀다운 머신,90.0,20,3,51
여성,60대 이상,64.9,상급자,다이어트,바벨 스쿼트,27.5,15,3,54
남성,20대,70.7,상급자,근비대,바벨 로우,65.0,8,3,90
남성,30대,75.6,중급자,다이어트,페이스 풀,30.0,16,3,48
여성,40대,51.1,중급자,스트렝스,벤치프레스,22.5,5,5,177
남성,30대,54.0,상급자,재활/건강,랫 풀다운 머신,37.5,19,2,119
남성,60대 이상,84.7,중급자,다이어트,숄더 프레스 머신,57.5,18,3,53
남성,30대,77.0,중급자,스트렝스,레그 컬 머신,82.5,5,5,135
여성,40대,52.5,초보자,다이어트,레그 프레스 머신,12.5,19,3,34
여성,10대,58.2,상급자,다이어트,레그 익스텐션 머신,37.5,20,3,34
남성,20대,65.0,상급자,근비대,레그 컬 머신,85.0,11,3,61
여성,50대,52.5,중급자,다이어트,랫 풀다운 머신,20.0,15,3,43
남성,40대,73.4,초보자,근비대,체스트 프레스 머신,32.5,11,4,76
여성,40대,54.3,중급자,근비대,체스트 프레스 머신,32.5,12,3,77
여성,60대 이상,59.2,상급자,다이어트,레그 컬 머신,37.5,18,3,43
여성,60대 이상,70.1,중급자,다이어트,시티드 로우 머신,30.0,20,3,43
여성,50대,59.6,상급자,스트렝스,체스트 프레스 머신,62.5,5,4,154
여성,30대,48.4,중급자,다이어트,레그 컬 머신,20.0,19,3,57
여성,20대,52.0,상급자,스트렝스,랫 풀다운 머신,57.5,4,5,146
여성,10대,59.5,상급자,스트렝스,루마니안 데드리프트,42.5,3,4,159
여성,30대,45.9,중급자,다이어트,벤치프레스,12.5,20,3,49
남성,50대,76.1,중급자,재활/건강,어시스트 풀업 머신,35.0,16,3,112
남성,50대,65.4,중급자,스트렝스,바벨 스쿼트,47.5,3,4,179
남성,30대,72.8,초보자,재활/건강,오버헤드 프레스,10.0,19,2,108
여성,20대,46.2,중급자,재활/건강,인클라인 덤벨 프레스,7.5,18,3,100
남성,50대,58.3,중급자,근비대,어시스트 풀업 머신,52.5,11,3,83
남성,50대,64.8,초보자,다이어트,사이드 레터럴 레이즈,12.5,20,3,31
남성,30대,72.5,초보자,근비대,워킹 런지,20.0,10,4,75
여성,10대,60.5,상급자,스트렝스,어시스트 풀업 머신,62.5,3,5,160
남성,20대,71.0,상급자,근비대,펙덱 플라이 머신,100.0,12,4,78
남성,20대,61.6,초보자,다이어트,시티드 로우 머신,20.0,20,3,45
여성,30대,55.6,상급자,재활/건강,바벨 로우,17.5,19,2,113
남성,10대,84.5,중급자,스트렝스,인클라인 덤벨 프레스,62.5,5,4,167
남성,40대,75.6,초보자,스트렝스,워킹 런지,27.5,3,4,139
남성,30대,84.8,초보자,다이어트,바벨 스쿼트,20.0,15,3,58
여성,20대,56.7,초보자,스트렝스,벤치프레스,12.5,5,4,129
남성,40대,71.5,중급자,재활/건강,레그 익스텐션 머신,30.0,17,2,94
여성,60대 이상,60.3,초보자,스트렝스,시티드 로우 머신,20.0,4,4,144
여성,50대,76.3,중급자,재활/건강,인클라인 덤벨 프레스,15.0,20,2,91
